key,EN,DE,TR
PIAT_001,Welcome to the PIAT!,Willkommen zum PIAT!,PIAT'a hos geldiniz!
PIAT_002,The Pitch Imagery Arrow Task has been designed to teach you to successfully imagine musical tones from a visual prompt.,"Beim Pitch Imagery Arrow Test (PIAT) musst du dir musikalische Töne mithilfe von Pfeilen vorstellen, die auf einem Bildschirm gezeigt werden.","Ok Araciligiyla Ses Perdesi Canlandirma Görevi, görsel bir yönlendiriciden hareketle müzik tonlarini basarili bir sekilde zihninizde canlandirmanizi ögretmek için tasarlanmistir."
PIAT_003,"Each trial starts with the word ""Begin"" on the screen, and you will hear an ascending major scale, which provides the key or context for that trial. You will then see a dot on the screen and hear a start note. Press ""Next"" for an example of this.","Jeder Durchgang beginnt mit dem Wort ""Begin"" auf dem Bildschirm. Du hörst eine aufsteigende Dur-Tonleiter, die dir Orientierung und den Kontext für den Durchgang gibt. Du siehst dann einen Punkt auf dem Bildschirm und hörst eine Startnote. Klicke auf ""Weiter"" um ein Beispiel zu sehen.","Her deneme, ekranda yazan ""Begin"" kelimesiyle baslar. Her deneme için o denemenin ses perdesini saglayan artan ölçekte müzik notalari duyacaksiniz. Ardindan ekranda bir nokta göreceksiniz ve bir baslangiç notasi duyacaksiniz. Örnek için ""Ileri""ye basin."
PIAT_004,Here is an example context:,Hier ist ein Kontextbeispiel:,Iste bir örnek:
PIAT_005,"A variable number of up and/or down arrows will then appear in a sequence, with a corresponding tone, that is stepping up or down the scale. Press ""Next"" for an example of these arrows appearing after the ascending scale and start note.","Es folgt dann eine Reihe von Auf- oder Abwärtspfeilen, zu denen der jeweils passende Ton erklingt, der auf der Tonleiter auf- oder absteigt. Klicke auf ""Weiter"" um ein Beispiel für die Pfeile zu sehen, die nach der aufsteigenden Dur-Tonleiter und der Start-Note erscheinen.","Daha sonra, farkli sayida yukari ve/veya asagi yönü gösteren oklar bir dizi sirayla gösterilecektir. Yukari yöne isaret eden oka artan düzeyde ton eslik ederken, asagi yöne isaret eden oka azalan düzeyde ton eslik edecektir. Bunun bir örnegi için ""Ileri""ye basin."
PIAT_006,Here is an example of arrows appearing after the ascending scale and start note:,"Hier ist ein Beispiel der Pfeile, die nach der aufsteigenden Dur-Tonleiter und der Start-Note erscheinen:",Artan ölçekte müzik notalarindan ve baslangiç notasindan sonra gösterilen oklara bir örnek:
PIAT_007,"At some point in the trial, an arrow is shown with no tone heard. Your job is to imagine that exact missing tone. The number of tones to be imagined in each trial will vary from 1 to 5 tones. The word ""hold"" will appear with the last silent arrow of the sequence. Hold in your mind the sound of this last tone as you prepare to hear a test tone. Press ""Next"" for an example of a single silent arrow added to our trial example.","Ab einem bestimmten Zeitpunkt wird dir ein Pfeil ohne den dazugehörigen Ton angezeigt. Deine Aufgabe ist es, dir genau diesen fehlenden Ton vorzustellen. Die Anzahl der Töne, die du dir vorstellen sollst, ist unterschiedlich (von 1 bis zu 5 Tönen). Das Wort ""hold"" erscheint nach dem letzten stillen Pfeil der Reihe. Halte dann diesen Ton in deiner Vorstellung. Klicke auf ""Weiter"" und du bekommst ein Beispiel mit stillem Pfeil am Ende.","Denemenin bir noktasinda, bir ok ton çalinmadan gösterilecektir. Burada yapmaniz gereken okun gösterdigi yönü dikkate alarak çalinmayan tonu zihninizde canlandirmanizdir. Her denemede zihinde canlandirilacak ton sayisi 1 ile 5 ton arasinda degisecektir. Dizinin ton çalinmadan gösterilen son okuyla birlikte ""hold"" kelimesi görünecektir. Bir test tonu duymaya hazirlanirken çalinmayan son tonun sesini aklinizda tutun. Deneme örnegi için ""Ileri""ye basin."
PIAT_008,Here is an example:,Hier ist ein Beispiel:,Iste bir örnek:
PIAT_009,"To test the accuracy of your imagery, a test tone will be sounded and a white fixation cross will display. The tone will either match the note you are imagining or it won't match. Your task will be to determine which is the case. Press 'Next' for the full example trial and try to respond correctly.","Um zu testen, ob du dir den Ton richtig vorgestellt hast, hörst du am Ende einen Testton und siehst gleichzeitig ein weißes Kreuz. Der Ton passt entweder zu der Note, die du dir vorstellst, oder er passt nicht. Klicke ""Weiter"" für ein ganzes Testbeispiel und versuche, richtig zu antworten.","Zihninizde canlandirdiginiz sesin dogrulugunu test etmek için bir test tonu çalinacak ve ekranda beyaz bir toplama isareti gösterilecektir. Göreviniz, zihninizde canlandirdiginiz notayla duydugunuz tonun eslesip eslesmedigini belirlemektir. Örnek deneme için 'Ileri'ye basin ve dogru bir sekilde yanit vermeye çalisin."
PIAT_010,Here is an example complete trial:,Hier ist ein vollständiges Testbeispiel:,Iste örnek bir deneme:
PIAT_011,We encourage you to just use your imagery to play the missing notes in your head and don’t hum or move as you imagine. From earlier tests we know that using only your imagery gives the best results on the test.,"Am besten stellst du dir nur die Töne vor und versuchst, nicht zu summen oder dich zu bewegen. Von früheren Tests wissen wir, dass Menschen, die nur ihre Vorstellung verwenden, die besten Ergebnisse erreichen.",Lütfen çalinmayan notalari sadece zihninizde canlandirin. Canlandirma esnasinda notalari mirildanmayin veya notalarla hareket etmeyin. Daha önceki testlerden yalnizca zihinde canlandirmanin en iyi sonuçlari verdigini biliyoruz.
PIAT_012,There are 3 practice trials in which you will receive feedback. You are free to attempt these as many times as you wish to familiarise yourself with the task.,"Es kommen jetzt drei Übungsbeispiele, zu denen du Feedback bekommst. Du kannst diese Beispiele so oft wiederholen, wie du möchtest.",Geri bildirim alacaginiz 3 alistirma denemesi vardir. Göreve asinalik kazanmak için bunlari istediginiz kadar denemekte özgürsünüz.
PIAT_013,Did the final tone match the note you were imagining?,"Passt der letzte Ton zu der Note, die du dir vorgestellt hast?","Duydugunuz son ton, zihninizde canlandirdiginiz notayla eslesti mi?"
PIAT_014,You answered correctly!,Du hast richtig geantwortet!,Dogru cevap verdiniz!
PIAT_015,Would you like to try the practice examples again?,Möchtest du die Übungsbeispiele noch einmal versuchen?,Alistirma örneklerini tekrar denemek ister misiniz?
